Date,Time,Open,High,Low,Close,Volume
2009.04.01,00:00,916.90,932.60,864.54,886.20,706235
2009.05.01,00:00,885.90,980.02,880.03,978.57,477783
2009.06.01,00:00,976.74,989.63,912.88,926.35,588342
2009.07.01,00:00,927.49,958.68,904.78,953.50,513166
2009.08.01,00:00,952.97,971.46,930.08,950.65,722334
2009.09.01,00:00,952.34,1023.87,946.23,1007.30,848394
2009.10.01,00:00,1009.40,1070.58,986.55,1044.96,1092991
2009.11.01,00:00,1044.12,1194.95,1042.84,1179.32,966371
2009.12.01,00:00,1179.66,1226.37,1074.48,1097.51,824780
2010.01.01,00:00,1094.61,1161.63,1074.01,1080.67,1249328
2010.02.01,00:00,1082.66,1130.75,1044.46,1117.30,1430065
2010.03.01,00:00,1117.83,1144.62,1085.05,1112.89,1152749
2010.04.01,00:00,1112.98,1181.41,1111.45,1178.72,1170076
2010.05.01,00:00,1177.78,1249.12,1157.62,1216.00,1365005
2010.06.01,00:00,1216.65,1265.02,1196.80,1242.13,965654
2010.07.01,00:00,1242.53,1243.73,1157.00,1180.55,593820
2010.08.01,00:00,1181.13,1249.70,1174.53,1247.20,512122
2010.09.01,00:00,1247.40,1315.59,1236.50,1307.94,751565
2010.10.01,00:00,1307.35,1387.03,1306.72,1359.00,1288990
2010.11.01,00:00,1361.20,1424.30,1325.55,1386.40,678468
2010.12.01,00:00,1383.20,1430.88,1361.19,1408.13,794075
2011.01.01,00:00,1415.71,1423.77,1307.88,1332.40,1406394
2011.02.01,00:00,1332.31,1417.94,1324.82,1411.12,1453907
2011.03.01,00:00,1410.87,1447.40,1380.88,1431.90,1390531
2011.04.01,00:00,1432.48,1569.00,1412.74,1563.30,283910
2011.05.01,00:00,1547.25,1575.13,1462.35,1535.60,529667
2011.06.01,00:00,1535.05,1557.86,1490.96,1500.00,733119
2011.07.01,00:00,1500.75,1632.35,1478.05,1626.27,1366911
2011.08.01,00:00,1610.20,1911.63,1607.88,1824.56,1487869
2011.09.01,00:00,1824.75,1920.61,1531.94,1623.68,1423540
2011.10.01,00:00,1623.68,1752.22,1595.65,1713.95,1154026
2011.11.01,00:00,1710.93,1802.79,1666.33,1746.03,1139951
2011.12.01,00:00,1747.83,1763.03,1522.64,1564.11,1122121
2012.01.01,00:00,1567.37,1747.52,1566.07,1738.18,1185675
2012.02.01,00:00,1738.07,1790.56,1685.96,1696.35,1112904
2012.03.01,00:00,1716.46,1724.10,1628.08,1666.95,1332475
2012.04.01,00:00,1671.34,1683.46,1612.39,1664.42,2632107
2012.05.01,00:00,1664.55,1671.45,1526.96,1560.90,3215700
2012.06.01,00:00,1559.49,1640.63,1544.92,1596.56,2708513
2012.07.01,00:00,1597.61,1629.38,1554.94,1613.98,2250860
2012.08.01,00:00,1614.74,1692.78,1583.83,1690.80,2145511
2012.09.01,00:00,1689.15,1787.39,1685.35,1771.68,2800629
2012.10.01,00:00,1769.47,1795.87,1698.50,1720.32,3195541
2012.11.01,00:00,1719.89,1754.28,1672.63,1714.13,3185235
2012.12.01,00:00,1714.96,1723.27,1635.44,1674.87,2566939
2013.01.01,00:00,1673.25,1696.10,1625.80,1663.44,2831400
2013.02.01,00:00,1663.93,1684.97,1555.04,1579.99,3429619
2013.03.01,00:00,1580.61,1616.84,1561.41,1596.10,2745504
2013.04.01,00:00,1600.84,1603.92,1321.54,1476.59,4981984
2013.05.01,00:00,1475.67,1488.08,1337.95,1387.64,5324134
2013.06.01,00:00,1389.50,1423.89,1180.17,1234.86,4953373
2013.07.01,00:00,1235.51,1346.68,1208.14,1325.06,4424856
2013.08.01,00:00,1324.21,1433.73,1272.80,1394.81,4355163
2013.09.01,00:00,1391.41,1416.35,1291.79,1328.65,3968812
2013.10.01,00:00,1327.47,1361.77,1251.67,1322.87,3276556
2013.11.01,00:00,1323.33,1327.45,1226.77,1252.92,1352094
2013.12.01,00:00,1249.50,1267.76,1182.42,1208.26,1414428
2014.01.01,00:00,1225.12,1278.93,1213.57,1243.85,1344662
2014.02.01,00:00,1243.65,1345.32,1240.76,1326.21,1256516
2014.03.01,00:00,1335.44,1388.91,1282.38,1283.82,1402563
2014.04.01,00:00,1284.67,1331.04,1268.41,1291.08,1267161
2014.05.01,00:00,1291.30,1315.55,1242.15,1249.23,1311430
2014.06.01,00:00,1249.56,1329.34,1240.56,1327.17,1168137
2014.07.01,00:00,1326.64,1345.05,1280.48,1282.96,1138353
2014.08.01,00:00,1283.12,1322.53,1272.61,1286.66,1150035
2014.09.01,00:00,1287.47,1289.71,1204.31,1207.83,1411871
2014.10.01,00:00,1208.21,1255.13,1161.42,1171.52,1481917
2014.11.01,00:00,1167.31,1207.63,1131.44,1165.88,1498958
2014.12.01,00:00,1158.49,1238.25,1141.74,1186.83,1921429
2015.01.01,00:00,1186.94,1307.53,1167.33,1283.56,1760930
2015.02.01,00:00,1280.42,1285.55,1190.30,1212.78,1436393
2015.03.01,00:00,1213.85,1223.18,1142.70,1183.57,1526229
2015.04.01,00:00,1183.76,1224.13,1175.14,1183.97,1558122
2015.05.01,00:00,1184.55,1232.22,1169.66,1190.42,1417118
2015.06.01,00:00,1190.47,1205.68,1162.63,1171.83,1447697
2015.07.01,00:00,1174.14,1175.00,1069.72,1095.48,1707709
2015.08.01,00:00,1095.72,1170.01,1080.94,1134.71,2182851
2015.09.01,00:00,1134.60,1156.65,1098.71,1114.47,1913945
2015.10.01,00:00,1115.56,1191.44,1104.59,1141.74,2073778
2015.11.01,00:00,1141.45,1142.94,1052.67,1064.37,2017243
2015.12.01,00:00,1064.81,1088.78,1046.23,1060.81,2275284
2016.01.01,00:00,1064.88,1127.94,1061.66,1117.99,2991334
2016.02.01,00:00,1115.86,1263.34,1115.86,1238.30,3295834
2016.03.01,00:00,1239.05,1283.36,1208.15,1232.44,2329473
2016.04.01,00:00,1231.56,1296.62,1208.93,1293.68,1745947
2016.05.01,00:00,1292.65,1303.65,1199.62,1215.08,1994379
2016.06.01,00:00,1216.02,1358.25,1205.91,1321.58,2355686
